*************13956075790消费记录*************
序号		类型		消费价格		数据(通话(条)/上网(MB)/短信(条))
1		通话		0元			10
2		通话		0元			10
3		短信		0元			10
4		短信		0元			20
5		通话		0元			30
6		通话		0元			30
7		上网		20元			20
8		通话		0元			30
9		通话		10元			10
10		上网		10元			10
11		上网		20元			20
12		通话		10元			10
13		短信		10元			10
14		上网		10元			10
15		通话		10元			10
16		上网		10元			10
17		通话		30元			30
18		上网		10元			10
19		短信		20元			20
20		上网		10元			10
21		上网		10元			10
22		短信		10元			10
23		上网		20元			20
24		通话		30元			30
25		通话		10元			10
26		通话		30元			30
27		短信		20元			20
28		上网		20元			20
